EMPRESA|ANIO_VTO|CODIGO_PROVEEDOR|RAZON_SOCIAL|FACTURA|EFECTO|FECHA_VTO|FECHA_PAGO|IMPORTE_VTO|IMPORTE_PAGO|IMPORTE_PENDIENTE_CAMPO|PENDIENTE_AJUSTADO_BRUTO|PENDIENTE_AJUSTADO_GESTION|ESTADO|DIAS_VENCIDO_31122025|TRAMO_ANTIGUEDAD|FLAG_PAGADO|FLAG_ANULADO|FLAG_DEVUELTO|FLAG_RENOVADO
CHEMIE|2003|128|ELADIA GUZMAN DEL REY|16360||2003-04-28||62.11|0.0|0.0|62.11|0.0|Anulado|8283|MAS_2_ANIOS|0|1|0|0
CHEMIE|2021|4378|VERA IMPORT, S.A|2140036||2021-04-30||732.05|0.0|732.05|732.05|732.05|Pendiente|1706|MAS_2_ANIOS|0|0|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|800||2005-11-15||507.38|0.0|0.0|507.38|0.0|Anulado|7351|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|802||2005-11-15||1691.7|0.0|0.0|1691.7|0.0|Anulado|7351|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|954||2005-12-15||946.13|0.0|0.0|946.13|0.0|Anulado|7321|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|955||2005-12-15||712.27|0.0|0.0|712.27|0.0|Anulado|7321|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|956||2005-12-15||296.33|0.0|0.0|296.33|0.0|Anulado|7321|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|957||2005-12-15||294.67|0.0|0.0|294.67|0.0|Anulado|7321|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2005|114|FERBA AUTOMATISMOS, S.L.|958||2005-12-15||956.05|0.0|0.0|956.05|0.0|Anulado|7321|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2006|114|FERBA AUTOMATISMOS, S.L.|1019||2006-01-15||210.89|0.0|0.0|210.89|0.0|Anulado|7290|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2006|114|FERBA AUTOMATISMOS, S.L.|1050||2006-01-15||156.6|0.0|0.0|156.6|0.0|Anulado|7290|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2006|114|FERBA AUTOMATISMOS, S.L.|1101||2006-01-30||124.12|0.0|0.0|124.12|0.0|Anulado|7275|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2006|114|FERBA AUTOMATISMOS, S.L.|118||2006-01-30||1754.2|0.0|0.0|1754.2|0.0|Anulado|7275|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2004|132|INDUSTRIAS TAYG, S.L.|14615||2004-02-28||156.74|0.0|0.0|156.74|0.0|Anulado|7977|MAS_2_ANIOS|0|1|0|0
ALMERIENSE|2004|164|OBRAS Y CONSTRUCCIONES BERJAMAR, S.L.|2||2004-04-01||18618.0|0.0|0.0|18618.0|0.0|Anulado|7944|MAS_2_ANIOS|0|1|0|0
