EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_CUENTA|SALDO_BANCO_MOV|SALDO_DEUDA_MOV|INTERES_MOV|FLAG_BANCO|FLAG_DEUDA_LP|FLAG_DEUDA_CP|FLAG_INTERES|FLAG_APERTURA|FLAG_CIERRE
CHEMIE|2024|2024-01-01|1700000015||Asiento de Apertura|971.03|H|0.0|971.03|DEUDA_LP_170|0.0|971.03|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-25|1700000015||CUOTA 01/24 PREST.225283|971.03|D|971.03|0.0|DEUDA_LP_170|0.0|-971.03|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-01-01|1700000017||Asiento de Apertura|551.68|H|0.0|551.68|DEUDA_LP_170|0.0|551.68|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-27|1700000017||CUOTA 01/24 PREST.225344|183.33|D|183.33|0.0|DEUDA_LP_170|0.0|-183.33|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-27|1700000017||CUOTA 02/24 PREST.225344|183.9|D|183.9|0.0|DEUDA_LP_170|0.0|-183.9|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-27|1700000017||CUOTA 03/24 PREST.225344|184.45|D|184.45|0.0|DEUDA_LP_170|0.0|-184.45|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-01-01|1700000020||Asiento de Apertura|9755.74|H|0.0|9755.74|DEUDA_LP_170|0.0|9755.74|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-03|1700000020||CUOTA 01/24 PREST.225979|518.53|D|518.53|0.0|DEUDA_LP_170|0.0|-518.53|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-03|1700000020||CUOTA 02/24 PREST.225979|521.21|D|521.21|0.0|DEUDA_LP_170|0.0|-521.21|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-03|1700000020||CUOTA 03/24 PREST.225979|523.91|D|523.91|0.0|DEUDA_LP_170|0.0|-523.91|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-03|1700000020||CUOTA 04/24 PREST.225979|526.62|D|526.62|0.0|DEUDA_LP_170|0.0|-526.62|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-03|1700000020||RECIBO 05/24 PREST.225979|529.35|D|529.35|0.0|DEUDA_LP_170|0.0|-529.35|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-03|1700000020||CUOTA 06/24 PREST.225979|532.09|D|532.09|0.0|DEUDA_LP_170|0.0|-532.09|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-03|1700000020||CUOTA 07/24 PREST.225979|535.24|D|535.24|0.0|DEUDA_LP_170|0.0|-535.24|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-03|1700000020||CUOTA 08/24 PREST.225979|537.94|D|537.94|0.0|DEUDA_LP_170|0.0|-537.94|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-03|1700000020||CUOTA 09/24 PREST.225979|540.65|D|540.65|0.0|DEUDA_LP_170|0.0|-540.65|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-03|1700000020||CUOTA 10/24 PREST.225979|543.38|D|543.38|0.0|DEUDA_LP_170|0.0|-543.38|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-03|1700000020||CUOTA 11/24 PREST.225979|546.12|D|546.12|0.0|DEUDA_LP_170|0.0|-546.12|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-03|1700000020||CUOTA 12/24 PREST.225979|548.87|D|548.87|0.0|DEUDA_LP_170|0.0|-548.87|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000020||Asiento de Cierre|3351.83|D|3351.83|0.0|DEUDA_LP_170|0.0|-3351.83|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000021||Asiento de Apertura|12415.53|H|0.0|12415.53|DEUDA_LP_170|0.0|12415.53|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-25|1700000021||CUOTA 01/24 PREST.000253|522.69|D|522.69|0.0|DEUDA_LP_170|0.0|-522.69|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-25|1700000021||CUOTA 02/24 PRESTAMO 000253|524.21|D|524.21|0.0|DEUDA_LP_170|0.0|-524.21|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-25|1700000021||CUOTA 03/24 PRESTAMO 000253|525.74|D|525.74|0.0|DEUDA_LP_170|0.0|-525.74|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-25|1700000021||CUOTA 04/24 PREST.000253|527.27|D|527.27|0.0|DEUDA_LP_170|0.0|-527.27|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-25|1700000021||CUOTA 05/24 PREST.000253|528.81|D|528.81|0.0|DEUDA_LP_170|0.0|-528.81|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-25|1700000021||CUOTA 06/24 PREST.000253|530.36|D|530.36|0.0|DEUDA_LP_170|0.0|-530.36|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-25|1700000021||CUOTA 07/24 PREST.000253|531.9|D|531.9|0.0|DEUDA_LP_170|0.0|-531.9|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-25|1700000021||CUOTA 08/24 PREST.000253|533.45|D|533.45|0.0|DEUDA_LP_170|0.0|-533.45|0.0|0|1|0|0|0|0
