EMPRESA|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_IVA|CODIGO_FAMILIA|FAMILIA|CODIGO_SUBFAMILIA|FECHA_ALTA|DESUSO|CONTROL_STOCK|RECALCULAR_PM|BASE|UNIDADES_PALET|KILOS_UNIDAD
CHEMIE|00100000,,|00100000|||DOSIFICADOR HIDRAULICO DOSATRON D200 RE|G|11|APARATOS Y DOSIFICADORES||2000-01-10|F|T|T||0.000|0.000
CHEMIE|00101000,,|00101000|||DOSIFICADOR GEL AITANA LUXE|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|0010100B,,|0010100B|||DOSIFICADOR GEL AITANA BLANCO C/TAPA|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00101INX,,|00101INX|||DOSIFICADOR GEL ACERO INOXIDABLE|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00102000,,|00102000|||DOSIFICADOR GEL ABS BLANCO|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|0010200P,,|0010200P|||DOSIFICADOR PARED PASTA LAVAMANOS|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00103000,,|00103000|||DOSIFICADOR PARED CAUTIVO BOLSA GEL 800cc|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00104000,,|00104000|||BOMBA DOSIFICADORA BIDON|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00104001,,|00104001|||BOMBA ELECTRICA FCO 07.03 PCS 220V|G|11|APARATOS Y DOSIFICADORES||2003-03-05|F|T|T||0.000|0.000
CHEMIE|00104005,,|00104005|||BOMBA DOSIFICADORA GARRAFA 5LT.|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|00105000,,|00105000|||DOSIFICADOR GEL AUTOMATICO BLANCO|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
CHEMIE|0010500S,,|0010500S|||SOPORTE SUELO PARA DOSIFICADOR AUTOMATICO|G|11|APARATOS Y DOSIFICADORES||2000-01-20|F|T|T||0.000|0.000
