EMPRESA|CODIGO_FAMILIA|DESCRIPCION|SECCION|ORDEN|TICADORA
CHEMIE|01|DESENGRASANTES Y LIMPIADORES GENERALES||1|
CHEMIE|02|JABONES Y PASTA LAVAMANOS||2|
CHEMIE|03|PROD. ESPECIALES INDUST. ALIMENTARIA||3|
CHEMIE|031|BACTERICIDAS Y LIMPIADORES HORTALIZAS||4|
CHEMIE|032|DESENGRASANTES Y LIMPIADORES||5|
CHEMIE|033|INSECTICIDAS||6|
CHEMIE|034|ABRILLANTADORES Y DESLIZANTES||7|
CHEMIE|035|VARIOS||8|
CHEMIE|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS||9|
CHEMIE|05|PROD. AUXILIARES PARA CONSTRUCCION||10|
CHEMIE|06|PINTURAS Y DISOLVENTES||11|
CHEMIE|061|PINTURAS Y DISOLVENTES GENERICO||12|
CHEMIE|07|AEROSOLES||13|
CHEMIE|08|CELULOSA-LINEA BLANCA||14|
CHEMIE|09|PROD. Y ACCESORIOS PARA LIMPIEZA||15|
CHEMIE|10|ACEITES Y GRASAS||16|
CHEMIE|11|APARATOS Y DOSIFICADORES||17|
CHEMIE|12|Nº LOTE PRODUCTOS C/REG. SAN.||18|
ALMERIENSE|1|BANDAS TRANSPORTADORAS Y ACCESORIOS||1|
ALMERIENSE|10|PINTURAS Y DISOLVENTES||2|
ALMERIENSE|11|PRODUCTOS QUIMICOS||3|
ALMERIENSE|12|AEROSOLES||4|
ALMERIENSE|13|ACEITES Y GRASAS||5|
ALMERIENSE|14|FOTOCELULAS/FINAL CARRERA/ETC||6|
ALMERIENSE|15|MATERIAL ELECTRICO||7|
ALMERIENSE|16|TORNILLERIA||8|
ALMERIENSE|17|RUEDAS TRASPALETAS||17|
ALMERIENSE|2|MOTORES/REDUCTORES/BOMBAS||9|
ALMERIENSE|3|RODAMIENTOS/SOPORTES/CORREAS||10|
ALMERIENSE|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS||11|
ALMERIENSE|5|COMPLEMENTOS HORNOS/VENTILADORES||12|
ALMERIENSE|6|CADENAS / PIÑONES||13|
ALMERIENSE|7|COMPLEMENTOS VARIOS||14|
ALMERIENSE|8|CEPILLOS||15|
ALMERIENSE|9|FILTROS/COMPLEMENTOS AUTOMOCION||16|
ECOCLEAN|01|DESENGRASANTES Y LIMPIADORES GENERALES||1|
ECOCLEAN|02|JABONES Y PASTA LAVAMANOS||2|
ECOCLEAN|03|PROD. ESPECIALES INDUST. ALIMENTARIA||3|
ECOCLEAN|031|BACTERICIDAS Y LIMPIADORES HORTALIZAS||13|
ECOCLEAN|032|DESENGRASANTES Y LIMPIADORES||14|
ECOCLEAN|033|INSECTICIDAS||15|
ECOCLEAN|034|ABRILLANTADORES Y DESLIZANTES||16|
ECOCLEAN|035|VARIOS||18|
ECOCLEAN|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS||4|
ECOCLEAN|05|PROD. AUXILIARES PARA CONSTRUCCION||5|
ECOCLEAN|06|PINTURAS Y DISOLVENTES||6|
ECOCLEAN|061|PINTURAS Y DISOLVENTES GENERICO||17|
ECOCLEAN|07|AEROSOLES||7|
ECOCLEAN|08|CELULOSA-LINEA BLANCA||8|
ECOCLEAN|09|PROD. Y ACCESORIOS PARA LIMPIEZA||9|
ECOCLEAN|10|ACEITES Y GRASAS||10|
ECOCLEAN|11|APARATOS Y DOSIFICADORES||11|
ECOCLEAN|12|Nº LOTE PRODUCTOS C/REG. SAN.||12|
