EMPRESA|EJERCICIO|FECHA|CODIGO_PROVEEDOR|RAZON_SOCIAL|NUMERO_DOCUMENTO|SERIE|ALMACEN|CODIGO_FAMILIA|FAMILIA|REFERENCIA|DESCRIPCION|CANTIDAD|CANTIDAD_PENDIENTE|PRECIO_SIN_IVA|PRECIO_CON_IVA|DESCUENTO1|DESCUENTO2|TOTAL_LINEA|PRECIO_MEDIO_COMPRA|LOTE|FECHA_ENVASADO|FECHA_CADUCIDAD|TIPO_DOC_ANTERIOR|NUMERO_DOC_ANTERIOR|FLAG_SIN_FAMILIA|FLAG_REFERENCIA_GENERICA|FLAG_LINEA_NEGATIVA|FLAG_SIN_TOTAL_LINEA
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|03|PROD. ESPECIALES INDUST. ALIMENTARIA|33073802|ACTIV CLOR - DETERGENTE CLORADO 40x6|240.000|240.000|0.9800000000000000|1.19|0.00|0.00|235.2000000000000|0.9520850000000000|040124240098|2024-01-04|2026-01-04|PP|207|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|95025305|DETERSOAN - SUAVIZANTE LAVADORA 4x5|20.000|20.000|1.290000000000000|1.56|0.00|0.00|25.80000000000000|0.0000000000000000||||PP|207|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|94003801|AIRGEN FRESH HOME - AMBIENTADOR 4X5|20.000|20.000|2.890000000000000|3.50|0.00|0.00|57.80000000000000|2.890000000000000||||PP|207|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|94003811|AIRGEN FRESH HOME - AMBIENTADOR 750 C/PULV.|12.000|12.000|2.840000000000000|3.44|0.00|0.00|34.08000000000000|2.824462000000000||||PP|207|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|94003811|AIRGEN PURPURA - AMBIENTADOR 750 C/PULV.|12.000|12.000|2.840000000000000|3.44|0.00|0.00|34.08000000000000|2.824462000000000||||PP|207|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|03|PROD. ESPECIALES INDUST. ALIMENTARIA|33063800|HIDROBRILL - SECANTE ABRILLANTADOR|90.000|90.000|2.120000000000000|2.57|0.00|0.00|190.8000000000000|2.120000000000000|010423327000|2024-01-04|2026-01-04|PP|208|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|01|DESENGRASANTES Y LIMPIADORES GENERALES|14023800|BRINET WC - LIMPIADOR DESINCRUSTANTE WC|40.000|40.000|1.490000000000000|1.80|0.00|0.00|59.60000000000000|0.0000000000000000||||PP|208|0|0|0|0
CHEMIE|2024|2024-01-03|4414|MANGIR UTILITIES, S.L.|398|1|1|03|PROD. ESPECIALES INDUST. ALIMENTARIA|33013800|TUNELIMP-LIMPIADOR TUNEL LAVADO 6X30|180.000|180.000|1.300000000000000|1.57|0.00|0.00|234.0000000000000|1.300000000000000|03012435099|2024-01-03|2026-01-03|PP|211|0|0|0|0
CHEMIE|2024|2024-01-04|283|ALCAUQUÍMICA, S.L.|6|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|528.000|528.000|1.025000000000000|1.24|0.00|0.00|541.2000000000001|1.024000000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|95003225|DETERGENTE LAVADORA PROFESIONAL SACO 10KG.|12.000|12.000|8.600000000000000|10.41|0.00|0.00|103.2000000000000|8.600000000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|96003200|VASOS PLASTICO 200 CAJA P-50 C/60 PACKS|18.000|18.000|25.06200000000000|30.33|0.00|0.00|451.1160000000000|26.86300000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|08|CELULOSA-LINEA BLANCA|81004618|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|72.000|72.000|9.337000000000000|11.30|0.00|0.00|672.2640000000000|10.85062900000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|08|CELULOSA-LINEA BLANCA|8100ZZ36|PACK HIGIENICO ENGARZADO ZZ PASTA C/36X200|25.000|25.000|18.81000000000000|22.76|0.00|0.00|470.2500000000000|20.84781100000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|08|CELULOSA-LINEA BLANCA|82001406GC|BOBINA SECAMANOS MECHA PASTA LAMINADO GC/950|312.000|312.000|1.799000000000000|2.18|0.00|0.00|561.2880000000000|1.799000000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-05|276|DICOCEL, S.A.|118|1|1|08|CELULOSA-LINEA BLANCA|82003206|BOBINA SECAMANOS MECHA PASTA LAMINADO C/6|168.000|168.000|1.530000000000000|1.85|0.00|0.00|257.0400000000000|1.710864000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-08|4235|ALMACENES ALMERIENSES DEL COLOR, S.L.|465|1|1|07|AEROSOLES|71233300|PINTURA AEROSOL 400 ML AMARILLO LUXOR 1023|15.000|15.000|3.060000000000000|3.70|0.00|0.00|45.90000000000000|3.652751000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-08|4314|DETERVAL CHEMICAL, S.L.|2|1|1|03|PROD. ESPECIALES INDUST. ALIMENTARIA|33013800|TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|180.000|180.000|1.300000000000000|1.57|0.00|0.00|234.0000000000000|1.300000000000000|01044235099|2024-01-04|2026-01-04|PP|212|0|0|0|0
CHEMIE|2024|2024-01-08|4314|DETERVAL CHEMICAL, S.L.|2|1|1|01|DESENGRASANTES Y LIMPIADORES GENERALES|12003801|CHEMGRAS ASF - DESENGRASANTE FREGADORA 20X5|100.000|100.000|0.7700000000000000|0.93|0.00|0.00|77.00000000000000|0.7700000000000000|01044232008|2024-01-04|2026-01-04|PP|212|0|0|0|0
CHEMIE|2024|2024-01-09|359|COMPLEMENTOS Y SUMINISTROS CRUZ, S.L.|576|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|TRAPOBLA|TRAPO ALGODON BLANCO ENV. 25 KG.|3.000|3.000|49.38000000000000|59.75|0.00|0.00|148.1400000000000|49.38000000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-09|359|COMPLEMENTOS Y SUMINISTROS CRUZ, S.L.|576|1|1|09|PROD. Y ACCESORIOS PARA LIMPIEZA|TRAPOCOL|TRAPO ALGODON COLOR PACK 25KG.|1.000|1.000|34.68000000000000|41.96|0.00|0.00|34.68000000000000|34.68000000000000||||  ||0|0|0|0
CHEMIE|2024|2024-01-10|4405|ORACHE DESINFECTION, S.L.|2024/27|1|1|03|PROD. ESPECIALES INDUST. ALIMENTARIA|33070000|CLEANPILL HA - DESINFECTANTE HA PASTILLAS ENV. 1KG.|90.000|90.000|6.710000000000000|8.12|0.00|0.00|603.9000000000000|6.710000000000000|2301519|2024-01-10|2026-01-10|PP|204|0|0|0|0
