EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|UBICACION|STOCK_INICIAL|STOCK_ACTUAL|STOCK_MAXIMO|STOCK_MINIMO|STOCK_RESERVADO|STOCK_ACTUAL2|CANTIDAD_TOTAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_MEDIO_INICIAL|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|VALOR_STOCK_COSTE_MEDIO|VALOR_STOCK_ULT_COMPRA|MARGEN_PVP1_VS_COSTE_MEDIO|DESUSO|CONTROL_STOCK|FLAG_STOCK_NEGATIVO|FLAG_STOCK_CERO|FLAG_BAJO_MINIMO|FLAG_SOBRE_MAXIMO|FLAG_SIN_COSTE_MEDIO|FLAG_SIN_FAMILIA|FLAG_REFERENCIA_GENERICA|FLAG_NO_EXISTE_ARTICULO|STOCK_INICIAL_N|STOCK_ACTUAL_N|STOCK_MAXIMO_N|STOCK_MINIMO_N|STOCK_RESERVADO_N|STOCK_ACTUAL2_N|CANTIDAD_TOTAL_N|ULTIMO_PRECIO_COMPRA_N|PRECIO_MEDIO_COMPRA_N|PRECIO_MEDIO_INICIAL_N|PRECIO_COSTO_N|PRECIO_ENTRADA_N|PVP1_SIN_IVA_N|PVP1_CON_IVA_N|VALOR_STOCK_COSTE_MEDIO_N|VALOR_STOCK_ULT_COMPRA_N|MARGEN_PVP1_VS_COSTE_MEDIO_N|FLAG_STOCK_NEGATIVO_N|FLAG_STOCK_CERO_N|FLAG_BAJO_MINIMO_N|FLAG_SOBRE_MAXIMO_N|FLAG_SIN_COSTE_MEDIO_N|FLAG_SIN_FAMILIA_N|FLAG_REFERENCIA_GENERICA_N|FLAG_NO_EXISTE_ARTICULO_N
CHEMIE|1|ALMACEN PRINCIPAL|00100000,,|00100000|||DOSIFICADOR HIDRAULICO DOSATRON D200 RE|11|APARATOS Y DOSIFICADORES||1.000|0.000|1.000|0.000|0.000|0.000|5.000|276.4656000000000|276.4656000000000|287.8848000000000|0.0000000000000000|0.0000000000000000|330.5600000000000|318.5400000000000|306.5200000000000|294.5000000000000|0.0000000000000000|399.98|385.43|370.89|356.35|0.00|0.0000000000000000|0.0000000000000000|54.09440000000001|F|T|0|1|0|0|0|0|0|0|1.0|0.0|1.0|0.0|0.0|0.0|5.0|276.4656|276.4656|287.8848|0.0|0.0|330.56|399.98|0.0|0.0|54.09440000000001|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00101000,,|00101000|||DOSIFICADOR GEL AITANA LUXE|11|APARATOS Y DOSIFICADORES||6.000|146.000|10.000|1.000|0.000|7.000|352.000|10.59000000000000|9.743658999999999|9.375800000000000|0.0000000000000000|0.0000000000000000|18.75000000000000|18.00000000000000|16.90000000000000|15.75000000000000|0.0000000000000000|22.69|21.78|20.45|19.06|0.00|1422.574214000000|1546.140000000000|9.006341000000001|F|T|0|0|0|1|0|0|0|0|6.0|146.0|10.0|1.0|0.0|7.0|352.0|10.59|9.743659|9.3758|0.0|0.0|18.75|22.69|1422.574214|1546.14|9.006341|0|0|0|1|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|0010100B,,|0010100B|||DOSIFICADOR GEL AITANA BLANCO C/TAPA|11|APARATOS Y DOSIFICADORES||0.000|53.000|0.000|0.000|0.000|55.000|30.000|11.83500000000000|11.03114100000000|9.150000000000000|0.0000000000000000|0.0000000000000000|18.95000000000000|17.80000000000000|16.60000000000000|15.40000000000000|0.0000000000000000|22.93|21.54|20.09|18.63|0.00|584.6504730000000|627.2550000000000|7.918858999999999|F|T|0|0|0|0|0|0|0|0|0.0|53.0|0.0|0.0|0.0|55.0|30.0|11.835|11.031141|9.15|0.0|0.0|18.95|22.93|584.650473|627.255|7.918858999999999|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00101INX,,|00101INX|||DOSIFICADOR GEL ACERO INOXIDABLE|11|APARATOS Y DOSIFICADORES||0.000|0.000|0.000|0.000|0.000|-1.000|2.000|28.87000000000000|28.87000000000000|28.87000000000000|0.0000000000000000|0.0000000000000000|46.20000000000000|43.30000000000000|40.50000000000000|37.50000000000000|0.0000000000000000|55.90|52.39|49.01|45.38|0.00|0.0000000000000000|0.0000000000000000|17.33000000000000|F|T|0|1|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|-1.0|2.0|28.87|28.87|28.87|0.0|0.0|46.2|55.9|0.0|0.0|17.33|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00102000,,|00102000|||DOSIFICADOR GEL ABS BLANCO|11|APARATOS Y DOSIFICADORES||0.000|44.000|0.000|0.000|0.000|29.000|194.000|4.650000000000000|6.312380000000000|8.414199999999999|0.0000000000000000|0.0000000000000000|15.60000000000000|14.60000000000000|13.60000000000000|12.60000000000000|0.0000000000000000|18.88|17.67|16.46|15.25|0.00|277.7447200000000|204.6000000000000|9.287620000000000|F|T|0|0|0|0|0|0|0|0|0.0|44.0|0.0|0.0|0.0|29.0|194.0|4.65|6.31238|8.4142|0.0|0.0|15.6|18.88|277.74472|204.6|9.28762|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|0010200P,,|0010200P|||DOSIFICADOR PARED PASTA LAVAMANOS|11|APARATOS Y DOSIFICADORES||0.000|0.000|0.000|0.000|0.000|0.000|0.000|12.89000000000000|12.89000000000000|16.00000000000000|0.0000000000000000|0.0000000000000000|25.60000000000000|24.50000000000000|23.20000000000000|21.90000000000000|0.0000000000000000|30.98|29.65|28.07|26.50|0.00|0.0000000000000000|0.0000000000000000|12.71000000000000|F|T|0|1|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.89|12.89|16.0|0.0|0.0|25.6|30.98|0.0|0.0|12.71|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00103000,,|00103000|||DOSIFICADOR PARED CAUTIVO BOLSA GEL 800cc|11|APARATOS Y DOSIFICADORES||1.000|5.000|0.000|0.000|0.000|0.000|9.000|19.95000000000000|16.57028600000000|10.68000000000000|0.0000000000000000|0.0000000000000000|38.45000000000000|36.30000000000000|34.15000000000000|32.00000000000000|0.0000000000000000|46.52|43.92|41.32|38.72|0.00|82.85142999999999|99.75000000000000|21.87971400000000|F|T|0|0|0|0|0|0|0|0|1.0|5.0|0.0|0.0|0.0|0.0|9.0|19.95|16.570286|10.68|0.0|0.0|38.45|46.52|82.85143|99.75|21.879714|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00104000,,|00104000|||BOMBA DOSIFICADORA BIDON|11|APARATOS Y DOSIFICADORES||8.000|0.000|0.000|0.000|0.000|0.000|175.000|18.23000000000000|15.92555500000000|8.113700000000000|0.0000000000000000|0.0000000000000000|27.35000000000000|25.50000000000000|23.70000000000000|21.90000000000000|0.0000000000000000|33.09|30.86|28.68|26.50|0.00|0.0000000000000000|0.0000000000000000|11.42444500000000|F|T|0|1|0|0|0|0|0|0|8.0|0.0|0.0|0.0|0.0|0.0|175.0|18.23|15.925555|8.1137|0.0|0.0|27.35|33.09|0.0|0.0|11.424445|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00104001,,|00104001|||BOMBA ELECTRICA FCO 07.03 PCS 220V|11|APARATOS Y DOSIFICADORES||0.000|-21.000|0.000|0.000|0.000|-2.000|8.000|126.0000000000000|109.8850000000000|0.0000000000000000|0.0000000000000000|0.0000000000000000|201.6000000000000|192.0000000000000|178.6000000000000|167.1000000000000|0.0000000000000000|243.94|232.32|216.11|202.19|0.00|-2307.585000000000|-2646.000000000000|91.71499999999999|F|T|1|0|0|0|0|0|0|0|0.0|-21.0|0.0|0.0|0.0|-2.0|8.0|126.0|109.885|0.0|0.0|0.0|201.6|243.94|-2307.585|-2646.0|91.715|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00104005,,|00104005|||BOMBA DOSIFICADORA GARRAFA 5LT.|11|APARATOS Y DOSIFICADORES||0.000|48.000|0.000|0.000|0.000|-1.000|0.000|1.980000000000000|1.880000000000000|1.480000000000000|0.0000000000000000|0.0000000000000000|4.500000000000000|4.200000000000000|3.800000000000000|3.500000000000000|0.0000000000000000|5.45|5.08|4.60|4.24|0.00|90.24000000000000|95.03999999999999|2.620000000000000|F|T|0|0|0|0|0|0|0|0|0.0|48.0|0.0|0.0|0.0|-1.0|0.0|1.98|1.88|1.48|0.0|0.0|4.5|5.45|90.24|95.04|2.62|0|0|0|0|0|0|0|0
