EMPRESA|CODIGO_ALMACEN|ALMACEN|CODIGO_FAMILIA|FAMILIA|ARTICULOS|ARTICULOS_CON_STOCK|ARTICULOS_STOCK_NEGATIVO|ARTICULOS_STOCK_CERO|ARTICULOS_BAJO_MINIMO|ARTICULOS_SIN_COSTE_MEDIO|STOCK_TOTAL_UNIDADES|VALOR_STOCK_COSTE_MEDIO|VALOR_STOCK_ULT_COMPRA
CHEMIE|1|ALMACEN PRINCIPAL|||9|1|5|3|0|0|-1968.000|-3864.457000000000|-3868.047000000000
CHEMIE|1|ALMACEN PRINCIPAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|50|27|12|11|6|0|-6221.000|-4436.183307999999|-3323.221999999997
CHEMIE|1|ALMACEN PRINCIPAL|02|JABONES Y PASTA LAVAMANOS|23|16|3|4|3|0|5958.000|10041.22268500000|10252.16000000000
CHEMIE|1|ALMACEN PRINCIPAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|73|30|19|24|6|0|-18073.000|-30002.95562200002|-28901.91500000000
CHEMIE|1|ALMACEN PRINCIPAL|035|VARIOS|4|2|1|1|0|1|-21.000|179.3400000000000|178.3200000000000
CHEMIE|1|ALMACEN PRINCIPAL|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|36|10|8|18|0|0|750.000|3117.955338000000|3281.960000000000
CHEMIE|1|ALMACEN PRINCIPAL|05|PROD. AUXILIARES PARA CONSTRUCCION|11|4|1|6|0|0|1562.000|3098.711445000000|3692.610000000000
CHEMIE|1|ALMACEN PRINCIPAL|06|PINTURAS Y DISOLVENTES|160|43|51|66|6|0|-1963.000|-82.15313400000306|-446.8769999999997
CHEMIE|1|ALMACEN PRINCIPAL|07|AEROSOLES|50|32|9|9|3|0|6244.000|24902.45275400000|26600.02200000000
CHEMIE|1|ALMACEN PRINCIPAL|08|CELULOSA-LINEA BLANCA|61|42|8|11|0|0|31768.000|112705.9525230000|118136.3020000000
CHEMIE|1|ALMACEN PRINCIPAL|09|PROD. Y ACCESORIOS PARA LIMPIEZA|235|106|84|45|17|2|59708.200|41858.83813600001|91987.67199999999
CHEMIE|1|ALMACEN PRINCIPAL|10|ACEITES Y GRASAS|37|4|6|27|1|1|399.000|5006.263523000000|5549.820000000001
CHEMIE|1|ALMACEN PRINCIPAL|11|APARATOS Y DOSIFICADORES|41|20|11|10|0|1|8150.000|14326.45003100000|17201.88550000000
ALMERIENSE|1|ALMACEN PRINCIPAL|||16|4|7|5|0|1|-662.000|-834.8520060000000|-842.2840000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|46|4|34|8|0|0|-2745.360|-67996.67726000000|-68050.67025000000
ALMERIENSE|1|ALMACEN PRINCIPAL|10|PINTURAS Y DISOLVENTES|28|0|11|17|1|0|-370.000|-1031.991000000000|-1154.612000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|11|PRODUCTOS QUIMICOS|18|0|15|3|0|2|-1990.000|-2709.358000000000|-3664.918000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|12|AEROSOLES|27|2|21|4|0|0|-6894.000|-23424.09430000001|-25765.74100000001
ALMERIENSE|1|ALMACEN PRINCIPAL|13|ACEITES Y GRASAS|66|12|25|29|0|0|-1312.000|-88245.60887000000|-11401.29000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|14|FOTOCELULAS/FINAL CARRERA/ETC|67|4|29|34|0|0|-599.000|-17230.91356900000|-17220.25000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|15|MATERIAL ELECTRICO|74|9|29|36|0|2|-15888.200|-202939.4260280001|-194830.7580000000
ALMERIENSE|1|ALMACEN PRINCIPAL|16|TORNILLERIA|1|0|1|0|0|1|-500.000|0.0000000000000000|0.0000000000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|17|RUEDAS TRASPALETAS|34|2|23|9|0|0|-1247.000|-12207.33200000000|-11741.04000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|2|MOTORES/REDUCTORES/BOMBAS|123|10|52|61|0|0|-479.000|-29881.99225300000|-30095.51499999999
ALMERIENSE|1|ALMACEN PRINCIPAL|3|RODAMIENTOS/SOPORTES/CORREAS|219|29|89|101|0|2|-4345.000|-25028.24815400000|-27794.12800000000
ALMERIENSE|1|ALMACEN PRINCIPAL|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|61|10|30|21|0|0|-2719.200|-61101.40242100001|-59987.05099999999
ALMERIENSE|1|ALMACEN PRINCIPAL|5|COMPLEMENTOS HORNOS/VENTILADORES|89|5|43|41|0|1|-7490.000|-150054.5472640000|-146950.1820000000
ALMERIENSE|1|ALMACEN PRINCIPAL|6|CADENAS / PIÑONES|87|12|41|34|0|0|-7393.320|-80355.75147200002|-82811.56243999999
ALMERIENSE|1|ALMACEN PRINCIPAL|7|COMPLEMENTOS VARIOS|265|50|119|96|0|1|-336218.350|-16725074.63458199|-16724271.37460000
ALMERIENSE|1|ALMACEN PRINCIPAL|8|CEPILLOS|83|2|19|62|0|3|-12446.000|-81873.24722000001|-88921.09000000000
ALMERIENSE|1|ALMACEN PRINCIPAL|9|FILTROS/COMPLEMENTOS AUTOMOCION|18|2|5|11|0|0|-79.000|-686.6720000000000|-828.7100000000000
ALMERIENSE|2|ALMACEN 2|5|COMPLEMENTOS HORNOS/VENTILADORES|2|0|1|1|0|0|-8.000|-216.4000000000000|-128.0000000000000
ECOCLEAN|1|ALMACEN PRINCIPAL|||6|1|3|2|0|0|-297.000|-167.0460000000000|-167.0460000000000
ECOCLEAN|1|ALMACEN PRINCIPAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|48|10|21|17|7|0|-19256.000|-18748.88171400000|-21587.50000000000
ECOCLEAN|1|ALMACEN PRINCIPAL|02|JABONES Y PASTA LAVAMANOS|21|3|15|3|4|2|-5027.000|-6690.206180000000|-7050.729999999999
