BLOQUE|EMPRESA|CODIGO_ALMACEN|ALMACEN|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|PRECIO_MEDIO_COMPRA|VALOR_STOCK_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|FLAG_STOCK_NEGATIVO
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|999999|VARIOS|7|COMPLEMENTOS VARIOS|-298294.980|55.58000000000000|-16579234.98840000|1|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|999992|ELECTRODOMESTICOS Y HIFI|15|MATERIAL ELECTRICO|-603.000|311.4900000000000|-187828.4700000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|01133445|ACEITE COMPRESORES NAVASINT 46 ENV.45|13|ACEITES Y GRASAS|-124.000|510.7500000000000|-63333.00000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090110|CANALETA HORNO FIBRA IMPREGNACION ANTIADHERENTE|5|COMPLEMENTOS HORNOS/VENTILADORES|-4538.000|12.45000000000000|-56498.10000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|000000|HERRAMIENTAS VARIAS|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|-2853.700|18.90000000000000|-53934.92999999999|1|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|9CADENA00|CADENAS VARIAS Y ESPECIALES|6|CADENAS / PIÑONES|-1894.320|17.66700000000000|-33466.95144000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|08SD0000|VENTILADOR INDUSTRIAL Y TURBINAS VARIOS|5|COMPLEMENTOS HORNOS/VENTILADORES|-287.000|112.5200000000000|-32293.24000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|028025380|CEPILLO PVC-O VARIOS|8|CEPILLOS|-3403.000|8.330000000000000|-28346.99000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|9TEFLO26|TEFLON ADHESIVO DESLIZANTE 0'25mm.   Mt2|7|COMPLEMENTOS VARIOS|-837.800|32.00000000000000|-26809.60000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090106|RESISTENCIA PARA HORNO 380V/1800W|5|COMPLEMENTOS HORNOS/VENTILADORES|-784.000|22.48900000000000|-17631.37600000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1OCM10B|CADENA 5/8 EJE HUECO OCM - REFORZADA ASA50|6|CADENAS / PIÑONES|-755.000|22.70000000000000|-17138.50000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|93060004|GUANTE NITRILO AZUL S/POLVO C/100 TALLA|7|COMPLEMENTOS VARIOS|-3052.000|5.200000000000000|-15870.40000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|131F|FOAMIZADO AZUL ROLLO 21000x1400      Mt2|7|COMPLEMENTOS VARIOS|-1534.500|9.646000000000001|-14801.78700000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|PANTLD2X25|PANTALLA ESTANCA C/2 TUBOS LED 150 CM 25W|15|MATERIAL ELECTRICO|-173.000|69.00000000000000|-11937.00000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|016825115|CEPILLO PVC-O 250x68 B/25 DT/115 P.MEZCL|8|CEPILLOS|-2140.000|5.560000000000000|-11898.40000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|433CILVA|CILINDROS HIDRAULICOS VARIOS|7|COMPLEMENTOS VARIOS|-56.000|197.1700000000000|-11041.52000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|430004|ELECTRODO ACERO INOX. (304) 2,5x300 PACK 2,7KG|7|COMPLEMENTOS VARIOS|-553.000|19.43100000000000|-10745.34300000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|017525120|CEPILLO PVC-O 300x75 B/25 DT/120 P.MEZCL|8|CEPILLOS|-1400.000|7.540000000000000|-10556.00000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|01103445|ACEITE COMPRESORES ULTRACOOLANT ENV.20|13|ACEITES Y GRASAS|-24.000|435.0400000000000|-10440.96000000000|0|0|1
