EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|BENEFICIO1|BENEFICIO2|BENEFICIO3|BENEFICIO4|BENEFICIO5|DESCUENTO1|DESCUENTO2|DESCUENTO3|DESCUENTO4|DESCUENTO5|DESCUENTO6|MARGEN_EUR_PVP1_COSTE_MEDIO|MARGEN_PCT_PVP1_COSTE_MEDIO|MARGEN_EUR_PVP1_ULT_COMPRA|MARGEN_PCT_PVP1_ULT_COMPRA|FLAG_SIN_PVP1|FLAG_SIN_COSTE_MEDIO|FLAG_PVP_MENOR_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|DESUSO|CONTROL_STOCK
CHEMIE|1|ALMACEN PRINCIPAL|69000027,,|69000027|||BROCHA PRENSADA Nº 06|||-18.0|1.6|1.6|0.0|0.0|3.8|3.5|3.2|2.9|0.0|4.6|4.24|3.87|3.51|0.0|137.5|118.75|100.0|81.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.2|57.89473684210525|2.2|57.89473684210525|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHEMIE|1|ALMACEN PRINCIPAL|6900CN27,,|6900CN27|||BROCHA PRENSADA Nº 06 CERDA NATURAL|||-4.0|2.189|2.189|0.0|0.0|4.8|4.4|3.95|3.5|0.0|5.81|5.32|4.78|4.24|0.0|119.28|101.01|80.45|60.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.611|54.39583333333333|2.611|54.39583333333333|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CHEMIE|1|ALMACEN PRINCIPAL|70066,,|70066|||ARMARIO ESCOBERO RESINA C/DOS PUERTAS+ESTANTES|||0.0|75.246|68.88|0.0|0.0|135.5|127.9|120.4|112.9|0.0|163.96|154.76|145.68|136.61|0.0|80.08|69.98|60.0|50.04|0.0|0.0|0.0|0.0|0.0|0.0|0.0|66.62|49.16605166051661|60.25400000000001|44.4678966789668|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CHEMIE|1|ALMACEN PRINCIPAL|83050006,,|83050006|||BOBINA PAPEL CAMILLA 1 CAPA C/PRECORTE C/6|||0.0|3.2|3.2|0.0|0.0|5.1|4.8|4.5|4.2|0.0|6.17|5.81|5.45|5.08|0.0|59.38|50.0|40.63|31.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.9|37.2549019607843|1.9|37.2549019607843|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHEMIE|1|ALMACEN PRINCIPAL|90006906,,|90006906|||KIT CEPILLO+PALO TELESCOPICO 3,6mts. C/TOMA AGUA|||0.0|20.155|20.155|0.0|0.0|40.3|36.3|32.25|28.3|0.0|48.76|43.92|39.02|34.24|0.0|99.95|80.1|60.0|40.41|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.145|49.98759305210918|20.145|49.98759305210918|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CHEMIE|1|ALMACEN PRINCIPAL|999999,,|999999|||VARIOS-ARTICULO DE PASO|||-1909.0|1.89|1.89|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.89|0.0|-1.89|0.0|1|0|0|1|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CHEMIE|1|ALMACEN PRINCIPAL|ROSEÑA70,,|ROSEÑA70|||ROLLO CINTA SEÑALIZACION AMARILLA/NEGRA 70mm|||2.0|4.75|4.568|0.0|0.0|8.5|8.1|7.6|7.2|0.0|10.29|9.8|9.2|8.71|0.0|78.95|70.53|60.0|51.58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.932|46.25882352941177|3.75|44.11764705882353|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CHEMIE|1|ALMACEN PRINCIPAL|ROSEÑADH50,,|ROSEÑADH50|||ROLLO CINTA SEÑALIZ. ADHESIVA AMARILLA/NEGRA 50mm|||-3.0|4.607|3.289|0.0|0.0|8.3|7.8|7.4|6.9|0.0|10.04|9.44|8.95|8.35|0.0|80.0|69.31|60.63|49.77|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.011000000000001|60.37349397590363|3.693000000000001|44.49397590361446|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CHEMIE|1|ALMACEN PRINCIPAL|WD40-400,,|WD40-400|||LUBRICANTE MULTIUSOS DIELECTRICO 400ml|||-36.0|6.06|6.06|0.0|0.0|13.3|12.1|10.9|9.7|0.0|16.09|14.64|13.19|11.74|0.0|119.47|99.67|79.87|60.07|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.240000000000001|54.43609022556392|7.240000000000001|54.43609022556392|0|0|0|0|1|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CHEMIE|1|ALMACEN PRINCIPAL|11013800,,|11013800|||CHEMGRAS MU - DESENGRASANTE MULTIUSOS|01|DESENGRASANTES Y LIMPIADORES GENERALES|140.0|1.15|1.15|0.0|0.0|4.3|3.8|3.3|2.8|0.0|5.2|4.6|3.99|3.39|0.0|273.91|230.43|186.96|143.48|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.15|73.25581395348837|3.15|73.25581395348837|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
