EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|HASTA_CANTIDAD_A|DESCUENTO_A|DESCUENTO2_A|PRECIO_SIN_IVA_A|PRECIO_CON_IVA_A|HASTA_CANTIDAD_B|DESCUENTO_B|DESCUENTO2_B|PRECIO_SIN_IVA_B|PRECIO_CON_IVA_B|HASTA_CANTIDAD_C|DESCUENTO_C|DESCUENTO2_C|PRECIO_SIN_IVA_C|PRECIO_CON_IVA_C|HASTA_CANTIDAD_D|DESCUENTO_D|DESCUENTO2_D|PRECIO_SIN_IVA_D|PRECIO_CON_IVA_D|PVP1_BASE|COSTE_MEDIO|FLAG_PRECIO_ESPECIAL|FLAG_DTO_ESPECIAL|FLAG_CLIENTE_SIN_MAESTRO|FLAG_ARTICULO_SIN_MAESTRO
CHEMIE|2|AGROPONIENTE II, S.A.|13011700,,|13011700|||XAMPIX - LIMPIADOR DESODORIZANTE CONCENT|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|2.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.2|1.025298|1|0|0|0
CHEMIE|2|AGROPONIENTE II, S.A.|14011700,,|14011700|||A-5 / LIMPIADOR ESP. ACERO INOX.|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|3.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.3|2.105739|1|0|0|0
CHEMIE|3|AGROPONIENTE, S.A.|13011700,,|13011700|||XAMPIX - LIMPIADOR DESODORIZANTE CONCENT|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|2.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.2|1.025298|1|0|0|0
CHEMIE|44|HORMIGONES DOMINGO GIMENEZ, S.A.|51001700,,|51001700|||DE-40 / DECAPANTE CEMENTO|05|PROD. AUXILIARES PARA CONSTRUCCION|99999999.0|0.0|0.0|1.35|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.3|0.59|1|0|0|0
CHEMIE|67||33023800,,|33023800|||BACTERCHEM - LIMPIADOR HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.2|1.249827|1|0|1|0
CHEMIE|160|AGROPONIENTE NATURAL PRODUCE, S.L.|32031700,,|32031700|||SILI 70 - ACEITE SILICONA DESLIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|0.0|0.0|0.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.0|8.14|1|0|0|0
CHEMIE|203|GAIDE, S.L.|42033800,,|42033800|||CHEMGRAS SX - DESENGRASANTE CARROCERIAS|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|99999999.0|0.0|0.0|2.85|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.4|0.99|1|0|0|0
CHEMIE|203|GAIDE, S.L.|51001700,,|51001700|||DE-40 / DECAPANTE CEMENTO|05|PROD. AUXILIARES PARA CONSTRUCCION|99999999.0|0.0|0.0|2.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.3|0.59|1|0|0|0
CHEMIE|203|GAIDE, S.L.|51011700,,|51011700|||WALLCLIN-DECAPANTE CEMENTO Y HECHUMBRE|05|PROD. AUXILIARES PARA CONSTRUCCION|99999999.0|0.0|0.0|2.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.2|1.02|1|0|0|0
CHEMIE|203|GAIDE, S.L.|51021700,,|51021700|||MEZPLAS-PLASTIFICANTE MORTERO|05|PROD. AUXILIARES PARA CONSTRUCCION|99999999.0|0.0|0.0|3.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.1|2.62861|1|0|0|0
