ORIGEN|EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|PVP1_SIN_IVA|PRECIO_ESPECIAL|COSTE_MEDIO|MARGEN_PCT|REBAJA_PCT_VS_PVP1|MOTIVO
PRECIOS_BASE|CHEMIE|||69000027|BROCHA PRENSADA Nº 06|||3.8||1.6|57.89473684210525||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||6900CN27|BROCHA PRENSADA Nº 06 CERDA NATURAL|||4.8||2.189|54.39583333333333||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||70066|ARMARIO ESCOBERO RESINA C/DOS PUERTAS+ESTANTES|||135.5||68.88|49.16605166051661||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||83050006|BOBINA PAPEL CAMILLA 1 CAPA C/PRECORTE C/6|||5.1||3.2|37.2549019607843||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||90006906|KIT CEPILLO+PALO TELESCOPICO 3,6mts. C/TOMA AGUA|||40.3||20.155|49.98759305210918||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||999999|VARIOS-ARTICULO DE PASO|||0.0||1.89|0.0||SIN_PVP1;REFERENCIA_GENERICA;SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||ROSEÑA70|ROLLO CINTA SEÑALIZACION AMARILLA/NEGRA 70mm|||8.5||4.568|46.25882352941177||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||ROSEÑADH50|ROLLO CINTA SEÑALIZ. ADHESIVA AMARILLA/NEGRA 50mm|||8.3||3.289|60.37349397590363||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||WD40-400|LUBRICANTE MULTIUSOS DIELECTRICO 400ml|||13.3||6.06|54.43609022556392||SIN_FAMILIA
PRECIOS_BASE|CHEMIE|||003511|CARTEL DE SEÑALIZACION|035|VARIOS|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||69000034|PALETINA DOBLE Nº36|06|PINTURAS Y DISOLVENTES|0.0||1.01|0.0||SIN_PVP1
PRECIOS_BASE|CHEMIE|||91183000|RECAMBIO MOPA-60 ALGODON|09|PROD. Y ACCESORIOS PARA LIMPIEZA|5.3||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||91253202|CUBO CONTENEDOR VERDE 120 LT. C/RUEDAS-PEDAL|09|PROD. Y ACCESORIOS PARA LIMPIEZA|105.8||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||91254000|ESCOBILLA W.C. LUX C/BASE|09|PROD. Y ACCESORIOS PARA LIMPIEZA|2.76||15.4|-457.9710144927537||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||92062800|LIMPIADOR TENN BAÑO 750 C/16|09|PROD. Y ACCESORIOS PARA LIMPIEZA|1.5||1.74|-16.0||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||930600VN|GUANTE VINILO NATURAL S/POLVO - CAJA 100|09|PROD. Y ACCESORIOS PARA LIMPIEZA|3.4||6.5|-91.1764705882353||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||9DM5064|MASCARILLA AUTOFILTRANTE FFP2 C/50|09|PROD. Y ACCESORIOS PARA LIMPIEZA|0.35||0.46|-31.42857142857145||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||02013445|GRASA LUBRICANTE MOLYBDAL-2 ENV.45|10|ACEITES Y GRASAS|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO
PRECIOS_BASE|CHEMIE|||1030369|BOMBA DOSIFICADORA DETERGENTE LAVAVAJILLAS|11|APARATOS Y DOSIFICADORES|80.0||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DE BARRERA 2 MTS.|||57.4||31.87|44.4773519163763||REFERENCIA_GENERICA;SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||01150005|ANTICONGELANTE-REFRIGERANTE C/C 50% VERDE ENV.5|||27.6||2.5|90.94202898550724||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||110628ZZ|RODAMIENTO 628 ZZ|||4.7||1.35|71.27659574468085||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||2243626|TRAJE PROTECCION DESECHABLE CAT.3|||9.5||5.25|44.73684210526316||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||303267|DESCALCIFICADOR COMPACTO 300 LTS.|||787.5||350.0|55.55555555555556||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||69000023|PALETINA GRANDE CERDA SUAVE APTA IND. ALIMENTARIA|||4.5||2.049|54.46666666666666||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||70066|ARMARIO ESCOBERO RESINA C/DOS PUERTAS+ESTANTES|||135.5||75.246|44.4678966789668||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||930600NL|GUANTE VINILO NATURAL CAJA 100|||3.4||6.5|-91.1764705882353||PVP1_MENOR_COSTE_MEDIO;SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||99ESTANV|ESTANTERIA - PANEL/PERFIL/PIE/ANGULO/TORNILLOS|||0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO;SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||9CAD2P35PVT|CADENA RODILLOS C/DOBLE PIVOTE 10x30 1 LADO|||42.1||26.3|37.52969121140143||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||GROSM001|GRIFO SOBRE-ENCIMERA PARA OSMOSIS|||54.45||24.75|54.54545454545455||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||ROSEÑA70|ROLLO CINTA SEÑALIZACION AMARILLA/NEGRA 70MM|||8.6||4.75|44.76744186046511||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||ROSEÑADH50|ROLLO CINTA SEÑALIZ. ADHESIVA AMARILLA/NEGRA 50mm|||8.3||4.417667|46.77509638554218||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||TUNELIMP|LIMPIADOR PARA TUNEL LAVADO INDUSTRIAL|||4.2||1.3|69.04761904761905||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||VMTXF010|VARIADOR MECANICO MOTOVARIO TXF 10 B5|||580.1||290.02|50.00517152215136||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||WD40-400|LUBRICANTE MULTIUSOS DIELECTRICO 400ml|||13.3||5.783333|56.51629323308271||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||500999|BANDA TRANSP. PVC VARIAS Y TRABAJOS PERFILES|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|0.0||5.11|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||65100005|ESMALTE SINT. IND. SIN REFERENCIAR|10|PINTURAS Y DISOLVENTES|0.0||3.01|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||82004006|BOBINA SECAMANOS MECHA ECO GOFRADA|11|PRODUCTOS QUIMICOS|2.8||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||94012812V|AMBIENTADOR AMBIPUR 3 VOLUTIONS RECAMBIO C/7|11|PRODUCTOS QUIMICOS|5.5||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01033445|ACEITE ENGRANAJES COMPOUND ISO 320 (LTS.)|13|ACEITES Y GRASAS|7.35||167.19|-2174.693877551021||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01103445|ACEITE COMPRESORES ULTRACOOLANT ENV.20|13|ACEITES Y GRASAS|22.5||435.04|-1833.511111111111||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01133445|ACEITE COMPRESORES NAVASINT 46 ENV.45|13|ACEITES Y GRASAS|21.5||510.75|-2275.581395348837||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA Z-15 EMBOLO ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|24.95||15.61|37.43486973947896||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA MULTIALIMENTACION E3JM|14|FOTOCELULAS/FINAL CARRERA/ETC|102.38||79.2|22.64114084782183||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4MC EMBOLO ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|47.36||28.56|39.69594594594595||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4D ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|22.35||12.412|44.46532438478747||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA AJUSTABLE|14|FOTOCELULAS/FINAL CARRERA/ETC|120.2||67.135|44.14725457570715||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA REG.400|14|FOTOCELULAS/FINAL CARRERA/ETC|83.9||46.681429|44.36063289630513||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|RELE ESTATICO RAP48A5|14|FOTOCELULAS/FINAL CARRERA/ETC|43.0||27.72|35.53488372093023||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 1000mm|14|FOTOCELULAS/FINAL CARRERA/ETC|125.35||63.835714|49.07402153968886||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 6M|14|FOTOCELULAS/FINAL CARRERA/ETC|115.3||64.05|44.44926279271466||REFERENCIA_GENERICA
