EMPRESA|CODIGOID|PRODUCTO|FECHA_ALTA|VALOR|CUENTA_ACTIVO|CUENTA_PASIVO|ANOS|PORCENTAJE|FECHA_ANTICIPADA|PRIMER_EJERCICIO|ULTIMO_EJERCICIO|AMORTIZA_PRIMERO|AMORTIZA_ANUAL|AMORTIZA_ULTIMO|FLAG_VEHICULO|FLAG_NAVE|FLAG_MAQUINARIA|FLAG_INFORMATICA|FLAG_MOBILIARIO
CHEMIE|2|EQUIPO INFORMATICO|2005-10-21|996.75|6810000000|2817000001|4.00|25.00||2005|2009|49.15|249.18|200.06|0|0|0|1|0
CHEMIE|1|VEHICULO CITROEN C4 HDI|2006-03-30|14772.36|6810000000|2818000002|6.25|16.00|2010-04-28|2006|2010|1793.72|2363.57|757.63|1|0|0|0|0
CHEMIE|6|FURGON MERCEDES|2006-09-14|22441.85|6810000000|2818000000|4.54|22.00||2006|2011|1474.39|4937.20|1218.66|1|0|0|0|0
CHEMIE|3|MOTO BMW 9105 FKK|2007-01-10|14531.26|6810000000|2818000005|0.00|0.00|2007-12-31|2007|2007|0.00|0.00|0.00|1|0|0|0|0
CHEMIE|5|MINI|2007-02-07|23355.84|6810000000|2818000000|4.00|25.00|2008-07-24|2007|2008|5247.06|5838.96|3279.41|0|0|0|0|0
CHEMIE|8|MOTO BMW R1200GS|2008-02-07|12437.50|6810000000|2818000005|0.00|0.00|2008-06-05|2008|2008|0.00|0.00|0.00|1|0|0|0|0
CHEMIE|10|MOBILIARIO OFICINA|2008-05-27|446.78|6810000000|2816000001|5.00|20.00||2008|2013|53.61|89.35|35.77|0|0|0|0|1
CHEMIE|11|MOBILIARIO OFICINA|2008-05-27|4293.09|6810000000|2816000001|5.00|20.00||2008|2013|515.17|858.61|343.48|0|0|0|0|1
CHEMIE|12|MOTO BMW R1200RT (2300 GFB)|2008-05-29|16331.28|6810000000|2818000006|5.00|20.00|2011-04-18|2008|2011|1941.85|3266.25|957.50|1|0|0|0|0
CHEMIE|9|MOBILIARIO OFICINA|2008-06-03|1694.61|6810000000|2816000001|4.54|22.00||2008|2012|216.53|372.81|359.65|0|0|0|0|1
CHEMIE|13|MOBILIARIO DE OFICINA|2008-06-03|1043.67|6810000000|2816000001|4.54|22.00||2008|2012|133.36|229.60|221.51|0|0|0|0|1
