EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_MOVIMIENTO|SALDO_SIGNO_GESTION|FLAG_ACTIVO_20_21|FLAG_AMORT_ACUMULADA_28|FLAG_GASTO_AMORT_681_682|FLAG_PERDIDA_INMOV_671|FLAG_BENEFICIO_INMOV_771|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION|FLAG_VEHICULO
CHEMIE|2024|2024-01-01|2000000000||Asiento de Apertura|1157.74|D|1157.74|0.00|INMOVILIZADO_INTANGIBLE_20|1157.74|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2000000000||Asiento de Cierre|1157.74|H|0.00|1157.74|INMOVILIZADO_INTANGIBLE_20|-1157.74|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2060000001||Asiento de Apertura|2000.00|D|2000.00|0.00|INMOVILIZADO_INTANGIBLE_20|2000.00|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2060000001||Asiento de Cierre|2000.00|H|0.00|2000.00|INMOVILIZADO_INTANGIBLE_20|-2000.00|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2060000002||Asiento de Apertura|2000.00|D|2000.00|0.00|INMOVILIZADO_INTANGIBLE_20|2000.00|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2060000002||Asiento de Cierre|2000.00|H|0.00|2000.00|INMOVILIZADO_INTANGIBLE_20|-2000.00|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2150000000||Asiento de Apertura|11254.04|D|11254.04|0.00|INMOVILIZADO_MATERIAL_21|11254.04|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2150000000||Asiento de Cierre|11254.04|H|0.00|11254.04|INMOVILIZADO_MATERIAL_21|-11254.04|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2160000000||Asiento de Apertura|2010.14|D|2010.14|0.00|INMOVILIZADO_MATERIAL_21|2010.14|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2160000000||Asiento de Cierre|2010.14|H|0.00|2010.14|INMOVILIZADO_MATERIAL_21|-2010.14|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2160000002||Asiento de Apertura|13178.15|D|13178.15|0.00|INMOVILIZADO_MATERIAL_21|13178.15|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2160000002||Asiento de Cierre|13178.15|H|0.00|13178.15|INMOVILIZADO_MATERIAL_21|-13178.15|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2170000001|VEHICULO LEASING L105015009 (1351DSX)|Asiento de Apertura|5773.31|D|5773.31|0.00|INMOVILIZADO_MATERIAL_21|5773.31|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-10-31|2170000001|VEHICULO LEASING L105015009 (1351DSX)|Fra. Nº 1-24147,MANUEL GINES MORENO MESA|321.60|D|321.60|0.00|INMOVILIZADO_MATERIAL_21|321.60|1|0|0|0|0|0|0|0|0
CHEMIE|2024|2024-12-31|2170000001|VEHICULO LEASING L105015009 (1351DSX)|Asiento de Cierre|6094.91|H|0.00|6094.91|INMOVILIZADO_MATERIAL_21|-6094.91|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-08-08|2170000002|LEASING 74301 FURGON  MERCEDES|Fra. Nº 1-43098,ROSSELLI & RUIZ, S.L.|668.59|D|668.59|0.00|INMOVILIZADO_MATERIAL_21|668.59|1|0|0|0|0|0|0|0|0
CHEMIE|2024|2024-12-31|2170000002|LEASING 74301 FURGON  MERCEDES|Asiento de Cierre|668.59|H|0.00|668.59|INMOVILIZADO_MATERIAL_21|-668.59|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2180000000||Asiento de Apertura|246.57|D|246.57|0.00|INMOVILIZADO_MATERIAL_21|246.57|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2180000000||Asiento de Cierre|246.57|H|0.00|246.57|INMOVILIZADO_MATERIAL_21|-246.57|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2180000017||Asiento de Apertura|7598.81|D|7598.81|0.00|INMOVILIZADO_MATERIAL_21|7598.81|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2180000017||Asiento de Cierre|7598.81|H|0.00|7598.81|INMOVILIZADO_MATERIAL_21|-7598.81|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2180000021||Asiento de Apertura|5661.07|D|5661.07|0.00|INMOVILIZADO_MATERIAL_21|5661.07|1|0|0|0|0|1|0|0|0
CHEMIE|2024|2024-12-31|2180000021||Asiento de Cierre|5661.07|H|0.00|5661.07|INMOVILIZADO_MATERIAL_21|-5661.07|1|0|0|0|0|0|1|0|0
CHEMIE|2024|2024-01-01|2180000022||Asiento de Apertura|21295.83|D|21295.83|0.00|INMOVILIZADO_MATERIAL_21|21295.83|1|0|0|0|0|1|0|0|0
