EMPRESA|CODIGO_COMERCIAL|ZONA|CLIENTES|CLIENTES_CON_MAESTRO|CLIENTES_SIN_MAESTRO|CLIENTES_URGENTE_LLAMADA|CLIENTES_URGENTE_VISITA|CLIENTES_PUBLICIDAD_ACEPTADA|DESCUENTO_FIJO_MEDIO|DESCUENTO_PP_MEDIO
CHEMIE|0||40|40|0|0|0|0|0.00|0.00
CHEMIE|0|1|36|36|0|0|0|0|0.00|0.00
CHEMIE|0|2|76|76|0|0|0|0|0.00|0.00
CHEMIE|0|3|9|9|0|0|0|0|0.00|0.00
CHEMIE|0|4|1|1|0|0|0|0|0.00|0.00
CHEMIE|1||2|2|0|0|0|0|0.00|0.00
CHEMIE|1|1|2|2|0|0|0|0|0.00|0.00
CHEMIE|1|3|2|2|0|0|0|0|0.00|0.00
CHEMIE|1|4|13|13|0|0|0|0|0.00|0.00
CHEMIE|2|2|4|4|0|0|0|0|0.00|0.00
CHEMIE|3|2|1|1|0|0|0|0|0.00|0.00
CHEMIE|4|2|1|1|0|0|0|0|0.00|0.00
CHEMIE|5|2|4|4|0|0|0|0|0.00|0.00
CHEMIE|6||1|1|0|0|0|0|0.00|0.00
CHEMIE|6|2|2|2|0|0|0|0|0.00|0.00
CHEMIE|7|2|2|2|0|0|0|0|0.00|0.00
CHEMIE|8|3|12|12|0|0|0|0|0.00|0.00
CHEMIE|9|2|1|1|0|0|0|0|0.00|0.00
CHEMIE|10|1|1|1|0|0|0|0|0.00|0.00
CHEMIE|22|1|1|1|0|0|0|0|0.00|0.00
CHEMIE|22|3|2|2|0|0|0|0|0.00|0.00
CHEMIE|28||1|1|0|0|0|0|0.00|0.00
CHEMIE|28|1|3|3|0|0|0|0|0.00|0.00
CHEMIE|28|2|5|5|0|0|0|0|0.00|0.00
CHEMIE|28|3|1|1|0|0|0|0|0.00|0.00
CHEMIE|34|2|1|1|0|0|0|0|0.00|0.00
CHEMIE|36|2|4|4|0|0|0|0|0.00|0.00
CHEMIE|38|1|1|1|0|0|0|0|0.00|0.00
CHEMIE|38|2|1|1|0|0|0|0|0.00|0.00
CHEMIE|38|3|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|0||24|24|0|0|0|0|0.00|0.00
ALMERIENSE|0|01|11|11|0|0|0|0|0.00|0.00
ALMERIENSE|0|02|43|43|0|0|0|0|0.00|0.00
ALMERIENSE|0|03|6|6|0|0|0|0|0.00|0.00
ALMERIENSE|2|02|5|5|0|0|0|0|0.00|0.00
ALMERIENSE|3|02|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|4|03|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|5|02|7|7|0|0|0|0|0.00|0.00
ALMERIENSE|6|02|3|3|0|0|0|0|0.00|0.00
ALMERIENSE|10|01|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|22|02|2|2|0|0|0|0|0.00|0.00
ALMERIENSE|22|03|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|23|01|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|28|02|2|2|0|0|0|0|0.00|0.00
ALMERIENSE|28|03|2|2|0|0|0|0|0.00|0.00
ALMERIENSE|29|02|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|30|02|1|1|0|0|0|0|0.00|0.00
ALMERIENSE|32|02|1|1|0|0|0|0|0.00|0.00
