EMPRESA|LOTE|CODIGO_LOTE|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
CHEMIE|012824/DS||1|ALMACEN PRINCIPAL|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|30.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|102730/DS||1|ALMACEN PRINCIPAL|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|30.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|390926021||1|ALMACEN PRINCIPAL|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|90.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|102722/PL||1|ALMACEN PRINCIPAL|11043200,,|11043200|||CHEMGRAS PL- DESENGRASANTE ESP. PLANCHAS|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|24.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|071107||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|80.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|200919||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|90.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|102722/L||1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|40.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|112708/50P||1|ALMACEN PRINCIPAL|15003800,,|15003800|||DETERMATIC 50 PLUS-LAVAVAJILLAS AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|72.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|112707/40||1|ALMACEN PRINCIPAL|15013800,,|15013800|||BRILLMATIC 40-ABRILLANTADOR VAJILLA|01|DESENGRASANTES Y LIMPIADORES GENERALES|||999999|20.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|291010||1|ALMACEN PRINCIPAL|32021700,,|32021700|||SILI 69 - SILICONA ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|||999999|30.000|0.000|1|0|0|0|0|0|0|0|0
