EMPRESA|CODIGO_ALMACEN|ALMACEN|CODIGO_FAMILIA|FAMILIA|LOTES|LOTES_CON_CANTIDAD_POSITIVA|LOTES_CANTIDAD_NEGATIVA|LOTES_CANTIDAD_CERO|LOTES_SIN_CADUCIDAD|LOTES_CADUCADOS|LOTES_CADUCA_30D|LOTES_CADUCA_90D|LOTES_CADUCA_180D|CANTIDAD_TOTAL
CHEMIE|1|ALMACEN PRINCIPAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1427|946|0|481|9|1159|13|28|54|72440.000
CHEMIE|1|ALMACEN PRINCIPAL|02|JABONES Y PASTA LAVAMANOS|322|266|0|56|0|287|2|4|6|15973.000
CHEMIE|1|ALMACEN PRINCIPAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|867|450|1|416|3|702|3|10|33|39900.000
CHEMIE|1|ALMACEN PRINCIPAL|035|VARIOS|4|3|0|1|0|3|0|0|0|60.000
CHEMIE|1|ALMACEN PRINCIPAL|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|58|47|0|11|1|48|0|0|2|2370.000
CHEMIE|1|ALMACEN PRINCIPAL|05|PROD. AUXILIARES PARA CONSTRUCCION|9|8|0|1|0|9|0|0|0|950.000
CHEMIE|1|ALMACEN PRINCIPAL|07|AEROSOLES|3|3|0|0|1|2|0|0|0|96.000
CHEMIE|1|ALMACEN PRINCIPAL|08|CELULOSA-LINEA BLANCA|1|1|0|0|0|1|0|0|0|23.000
CHEMIE|1|ALMACEN PRINCIPAL|09|PROD. Y ACCESORIOS PARA LIMPIEZA|32|28|0|4|1|30|1|1|1|1285.000
CHEMIE|1|ALMACEN PRINCIPAL|10|ACEITES Y GRASAS|5|5|0|0|0|5|0|0|0|88.000
ALMERIENSE|1|ALMACEN PRINCIPAL|7|COMPLEMENTOS VARIOS|2|1|0|1|1|0|0|0|1|1.000
ECOCLEAN|1|ALMACEN PRINCIPAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|661|504|0|157|9|611|2|6|10|44444.000
ECOCLEAN|1|ALMACEN PRINCIPAL|02|JABONES Y PASTA LAVAMANOS|155|114|0|41|0|146|2|2|3|7791.000
ECOCLEAN|1|ALMACEN PRINCIPAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|241|193|0|48|2|233|0|0|0|23959.000
ECOCLEAN|1|ALMACEN PRINCIPAL|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|14|14|0|0|1|13|0|0|0|682.000
ECOCLEAN|1|ALMACEN PRINCIPAL|05|PROD. AUXILIARES PARA CONSTRUCCION|3|3|0|0|0|3|0|0|0|114.000
ECOCLEAN|1|ALMACEN PRINCIPAL|09|PROD. Y ACCESORIOS PARA LIMPIEZA|12|12|0|0|0|12|0|0|0|400.000
ECOCLEAN|1|ALMACEN PRINCIPAL|10|ACEITES Y GRASAS|3|3|0|0|0|3|0|0|0|48.000
