EMPRESA|CODIGO|DESCRIPCION|CONTABILIDAD|IVA|MODELO347|CIERRE
CHEMIE|*AN**|Anulación facturas|1|T|T|T
CHEMIE|*ANU*|Anulación Serie: 1|1|T|T|T
CHEMIE|*E*|Fras. simp. en espera|1|T|T|T
CHEMIE|*T*|Fras. simp. anuladas|1|T|T|T
CHEMIE|1|SERIE 1|1|T|T|T
CHEMIE|2|SERIE 2 VENTA INMOVILIZADO|1|T|T|T
CHEMIE|3|SERIE EMPRESA GRUPO|1|T|T|T
CHEMIE|4|FACTURA RECTIFICATIVAS VENTAS|1|T|T|T
CHEMIE|5|FACTURA RECTIFICATIVA COMPRAS|1|T|T|T
CHEMIE|6|VENTAS ESPECIALES  a convertir serie 1|1|T|T|F
CHEMIE|7|PROMOCION VENTAS Y REGALOS CTES.|1|T|T|F
CHEMIE|8|COMPRA DE INMOVILIZADO|1|T|T|F
CHEMIE|99|SERIE 2 S/CON|2|F|F|T
CHEMIE|T|Fras. simplificadas|1|T|T|T
ALMERIENSE|*AN**|Anulación facturas|1|T|T|T
ALMERIENSE|*ANU*|Anulación de facturas|1|T|T|T
ALMERIENSE|*E*|Fras. simp. en espera|1|T|T|T
ALMERIENSE|*T*|Fras. simp. anuladas|1|T|T|T
ALMERIENSE|1|CONTABILIDAD 1|1|T|T|T
ALMERIENSE|1    C|Serie Comunicaciones tienda 1|1|T|T|T
ALMERIENSE|1    T|Serie Tienda 1|1|T|T|T
ALMERIENSE|2|FACTURACION PROMOCIONES|2|T|T|T
ALMERIENSE|3|FACTURACION EMPRESA GRUPO|1|T|T|T
ALMERIENSE|4|FACTURA RECTIFICATIVA VENTAS|1|T|T|T
ALMERIENSE|5|FACTURA RECTIFICATIVA COMPRAS|1|T|T|T
ALMERIENSE|6|FRA. RECTIFICATIVA VTAS. RECUPERAR IVA|1|T|F|T
ALMERIENSE|7|SERIE 7 VENTA INMOVILIZADO|1|T|T|F
ALMERIENSE|99|SERIE 99|2|F|T|T
ALMERIENSE|T|Fras. simplificadas|1|T|T|T
ECOCLEAN|*AN**|Anulación facturas|1|T|T|T
ECOCLEAN|*E*|Fras. simp. en espera|1|T|T|T
ECOCLEAN|*T*|Fras. simp. anuladas|1|T|T|T
ECOCLEAN|1|Serie 1|1|T|T|T
ECOCLEAN|10|Serie OR y Fras. CLIENTES|1|T|T|T
ECOCLEAN|11|Serie OR y Fras. FABRICANTES|1|T|T|T
ECOCLEAN|12|Serie OR y Fras. C. SEGUROS|1|T|T|T
ECOCLEAN|2|Serie 2|1|T|T|F
ECOCLEAN|20|Serie Fras. VEHICULOS NUEVOS|1|T|T|T
ECOCLEAN|30|Serie Fras. VEHICULOS OCASION|1|T|T|T
ECOCLEAN|4|FACTURAS RECTIFICATIVAS VENTAS|1|T|T|F
ECOCLEAN|99|Serie 99|2|F|F|F
ECOCLEAN|T|Serie Tickets|1|T|T|T
