ORIGEN|CRITERIO|EMPRESA|CODIGO_ALMACEN|ALMACEN|LOTE|CODIGO_LOTE|REFE|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
LOTES|CADUCA_180D_CON_CANTIDAD|ALMERIENSE|1|ALMACEN PRINCIPAL|R0064/25||RECLLHI93,,|RECLLHI93|REACTIVO CLORO LIBRE C/300 TEST HI93701|7|COMPLEMENTOS VARIOS|2024-08-31|2026-08-31|96|1.000|0.000|0|0|0|0|1|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|050607/VIT||13001700,,|13001700|VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-06-05|2008-06-05|-6565|30.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|092706/MX-05||11033800,,|11033800|ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-09-01|2008-09-01|-6477|45.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|141106/VIT||13001700,,|13001700|VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2006-11-14|2008-11-14|-6403|30.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|112713/l||13033800,,|13033800|BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-11-15|2008-11-15|-6402|60.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|102631/GEL||21043800,,|21043800|LICOGEL - GEL HIDROALCOHOL HIGIENIZANTE|02|JABONES Y PASTA LAVAMANOS||2008-11-20|-6397|20.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|052714/GEL||21043800,,|21043800|LICOGEL - GEL HIDROALCOHOL HIGIENIZANTE|02|JABONES Y PASTA LAVAMANOS||2008-11-26|-6391|20.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|111207-05||13001700,,|13001700|VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-12-11|2008-12-11|-6376|60.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|122719/B||43033800,,|43033800|CHEMFLUID B - TALADRINA BLANCA|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|2007-12-21|2008-12-21|-6366|120.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|122720/V||43001700,,|43001700|CHEMFLUID V - TALADRINA VERDE|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|2007-12-21|2008-12-21|-6366|30.000|0.000|0|1|0|0|0|0|0|0|0
