BLOQUE|EMPRESA_ORIGEN|EJERCICIO|CLASIFICACION_VINCULADA|DOCUMENTOS|BASE_SIN_IVA|TOTAL_DOCUMENTO
VENTAS_VINCULADAS|ALMERIENSE|2024|ECOCLEAN|1|270.0|340.74
VENTAS_VINCULADAS|ALMERIENSE|2024|PERSONA_VINCULADA|2|1031.0|1247.51
VENTAS_VINCULADAS|ALMERIENSE|2025|ECOCLEAN|1|190.0|239.78
VENTAS_VINCULADAS|ALMERIENSE|2025|PERSONA_VINCULADA|2|-210.0|-254.10000000000002
VENTAS_VINCULADAS|CHEMIE|2024|ECOCLEAN|2|1976.0|2493.71
VENTAS_VINCULADAS|CHEMIE|2025|ECOCLEAN|1|868.0|1095.42
VENTAS_VINCULADAS|CHEMIE|2025|PERSONA_VINCULADA|1|5000.0|5000.0
COMPRAS_VINCULADAS|CHEMIE|2024|ALMERIENSE|1|476.0|575.96
COMPRAS_VINCULADAS|CHEMIE|2025|ALMERIENSE|4|1826.4|2209.95
COMPRAS_VINCULADAS|ECOCLEAN|2025|ALMERIENSE|2|460.0|580.52
