EMPRESA_ORIGEN|TIPO|EJERCICIO|FECHA|CODIGO_CONTRAPARTE|RAZON_SOCIAL|NIF_CIF|SERIE|NUMERO_DOCUMENTO|BASE_SIN_IVA|TOTAL_DOCUMENTO|IVA_ESTIMADO|SITUACION|TIPO_DOC|CONTABILIZADO|ASIENTO|BIEN_INVERSION|CLASIFICACION_VINCULADA
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-02-08|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|46900|18.32|19.95|1.63|P||T|119.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-04-08|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|113325|17.31|18.84|1.53|P||T|337.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-06-12|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|179944|22.07|24.06|1.99|P||T|581.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-08-07|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|246632|32.43|35.39|2.96|P||T|760.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-10-07|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|313198|82.37|90.03|7.66|P||T|1012.0000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2024|2024-12-10|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|380151|31.02|33.88|2.86|P||T|1221.0000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-02-10|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|47541|19.82|21.6|1.78|P||T|125.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-04-01|448|ALMACENES ALMERIENSES DEL COLOR, S.L.|B04116943|1|3762|58.14|70.35|12.21|P||T|331.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-04-08|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|114625|23.12|25.17|2.05|P||T|332.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-06-09|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|181861|30.26|32.99|2.73|P||T|566.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-08-07|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|249188|43.58|47.52|3.94|P||T|823.00000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-10-07|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|316632|74.38|81.14|6.76|P||T|1022.0000|0|ALMERIENSE
ALMERIENSE|COMPRA_A_VINCULADA|2025|2025-12-10|392|GESTIÓN DE AGUAS DEL LEVANTE ALMERIENSE, S.A.|A04107272|1|384414|34.7|37.83|3.13|P||T|1210.0000|0|ALMERIENSE
