EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_IVA|SALDO_SIGNO_GESTION|FLAG_472_SOPORTADO|FLAG_477_REPERCUTIDO|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION
CHEMIE|2024|2024-01-01|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-25985,TELEFONICA DE ESPAÑA, S.|51.03|D|51.03|0.00|IVA_SOPORTADO|51.03|1|0|0|0|0
CHEMIE|2024|2024-01-02|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-336619,UNICAJA BANCO, S.A.U.|1.89|D|1.89|0.00|IVA_SOPORTADO|1.89|1|0|0|0|0
CHEMIE|2024|2024-01-03|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-1,JUAN RAMON RODRIGUEZ LOPEZ|70.01|D|70.01|0.00|IVA_SOPORTADO|70.01|1|0|0|0|0
CHEMIE|2024|2024-01-04|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-6,ALCAUQUÍMICA, S.L.|113.61|D|113.61|0.00|IVA_SOPORTADO|113.61|1|0|0|0|0
CHEMIE|2024|2024-01-04|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-3/24,MANGIR UTILITIES, S.L.|182.99|D|182.99|0.00|IVA_SOPORTADO|182.99|1|0|0|0|0
CHEMIE|2024|2024-01-04|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-249796,REPSOL COMERCIALIZADORA|13.75|D|13.75|0.00|IVA_SOPORTADO|13.75|1|0|0|0|0
CHEMIE|2024|2024-01-05|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-73,DICOCEL, S.A.|528.22|D|528.22|0.00|IVA_SOPORTADO|528.22|1|0|0|0|0
CHEMIE|2024|2024-01-08|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-520502,SIEMENS RENTING, S.A.|4.11|D|4.11|0.00|IVA_SOPORTADO|4.11|1|0|0|0|0
CHEMIE|2024|2024-01-11|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-2,JUAN RAMON RODRIGUEZ LOPEZ|33.81|D|33.81|0.00|IVA_SOPORTADO|33.81|1|0|0|0|0
CHEMIE|2024|2024-01-11|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-2024/27,ORACHE DESINFECTION, S|132.44|D|132.44|0.00|IVA_SOPORTADO|132.44|1|0|0|0|0
CHEMIE|2024|2024-01-15|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-3,DETERVAL CHEMICAL, S.L.|190.65|D|190.65|0.00|IVA_SOPORTADO|190.65|1|0|0|0|0
CHEMIE|2024|2024-01-15|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-112,DILOP SUMINISTROS, S.A.|11.45|D|11.45|0.00|IVA_SOPORTADO|11.45|1|0|0|0|0
CHEMIE|2024|2024-01-15|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-576,ALMACENES ALMERIENSES DEL|48.46|D|48.46|0.00|IVA_SOPORTADO|48.46|1|0|0|0|0
CHEMIE|2024|2024-01-16|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-154775,UNICAJA BANCO, S.A.U.|1.89|D|1.89|0.00|IVA_SOPORTADO|1.89|1|0|0|0|0
CHEMIE|2024|2024-01-17|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-2400390,OMARE, S.L.|119.25|D|119.25|0.00|IVA_SOPORTADO|119.25|1|0|0|0|0
CHEMIE|2024|2024-01-17|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-2400222,INDUSTRIA PAPELERA DE|990.44|D|990.44|0.00|IVA_SOPORTADO|990.44|1|0|0|0|0
CHEMIE|2024|2024-01-18|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-2400239,HILADOS BIETE, S.L.|189.45|D|189.45|0.00|IVA_SOPORTADO|189.45|1|0|0|0|0
CHEMIE|2024|2024-01-19|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-289,DICOCEL, S.A.|215.81|D|215.81|0.00|IVA_SOPORTADO|215.81|1|0|0|0|0
CHEMIE|2024|2024-01-19|4720000001|H.P. IVA SOPORTADO|Fra. Nº 1-241175,ZITRODIS, S.L.|88.23|D|88.23|0.00|IVA_SOPORTADO|88.23|1|0|0|0|0
